llr_threshold,recall
0.1551,1.0000
0.8073,0.9615
1.4595,0.9615
2.1117,0.9615
2.7639,0.9615
3.4161,0.9615
4.0683,0.9615
4.7205,0.9615
5.3727,0.9615
6.0249,0.9615
6.6770,0.9231
7.3292,0.9231
7.9814,0.9231
8.6336,0.9231
9.2858,0.8462
9.9380,0.8077
10.5902,0.7692
11.2424,0.7692
11.8946,0.7692
12.5468,0.7692
13.1989,0.7308
13.8511,0.7308
14.5033,0.6923
15.1555,0.6538
15.8077,0.6538
16.4599,0.6538
17.1121,0.6538
17.7643,0.6538
18.4165,0.6154
19.0687,0.6154
19.7208,0.6154
20.3730,0.5769
21.0252,0.5769
21.6774,0.5769
22.3296,0.5769
22.9818,0.5769
23.6340,0.5769
24.2862,0.5769
24.9384,0.5769
25.5906,0.5769
26.2427,0.5769
26.8949,0.5769
27.5471,0.5769
28.1993,0.5769
28.8515,0.5769
29.5037,0.5769
30.1559,0.5769
30.8081,0.5769
31.4603,0.5769
32.1125,0.5769
32.7646,0.5769
33.4168,0.5385
34.0690,0.5000
34.7212,0.5000
35.3734,0.5000
36.0256,0.4615
36.6778,0.4615
37.3300,0.4231
37.9822,0.4231
38.6344,0.4231
39.2865,0.4231
39.9387,0.4231
40.5909,0.4231
41.2431,0.4231
41.8953,0.4231
42.5475,0.4231
43.1997,0.4231
43.8519,0.4231
44.5041,0.4231
45.1563,0.4231
45.8084,0.4231
46.4606,0.4231
47.1128,0.3846
47.7650,0.3846
48.4172,0.3846
49.0694,0.3846
49.7216,0.3846
50.3738,0.3846
51.0260,0.3846
51.6782,0.3846
52.3304,0.3846
52.9825,0.3846
53.6347,0.3846
54.2869,0.3846
54.9391,0.3846
55.5913,0.3846
56.2435,0.3846
56.8957,0.3846
57.5479,0.3846
58.2001,0.3846
58.8523,0.3846
59.5044,0.3846
60.1566,0.3846
60.8088,0.3846
61.4610,0.3846
62.1132,0.3846
62.7654,0.3846
63.4176,0.3846
64.0698,0.3846
64.7220,0.3846
65.3742,0.3846
66.0263,0.3846
66.6785,0.3846
67.3307,0.3846
67.9829,0.3846
68.6351,0.3846
69.2873,0.3846
69.9395,0.3846
70.5917,0.3846
71.2439,0.3846
71.8961,0.3846
72.5482,0.3846
73.2004,0.3846
73.8526,0.3846
74.5048,0.3846
75.1570,0.3846
75.8092,0.3846
76.4614,0.3846
77.1136,0.3846
77.7658,0.3846
78.4180,0.3846
79.0701,0.3846
79.7223,0.3846
80.3745,0.3846
81.0267,0.3846
81.6789,0.3846
82.3311,0.3846
82.9833,0.3846
83.6355,0.3846
84.2877,0.3846
84.9399,0.3846
85.5920,0.3846
86.2442,0.3846
86.8964,0.3846
87.5486,0.3846
88.2008,0.3846
88.8530,0.3846
89.5052,0.3846
90.1574,0.3846
90.8096,0.3846
91.4618,0.3846
92.1139,0.3846
92.7661,0.3846
93.4183,0.3846
94.0705,0.3846
94.7227,0.3846
95.3749,0.3846
96.0271,0.3846
96.6793,0.3846
97.3315,0.3846
97.9837,0.3846
98.6358,0.3846
99.2880,0.3846
99.9402,0.3846
100.5924,0.3846
101.2446,0.3846
101.8968,0.3846
102.5490,0.3846
103.2012,0.3846
103.8534,0.3846
104.5056,0.3846
105.1577,0.3846
105.8099,0.3846
106.4621,0.3846
107.1143,0.3846
107.7665,0.3846
108.4187,0.3846
109.0709,0.3846
109.7231,0.3846
110.3753,0.3846
111.0275,0.3846
111.6796,0.3846
112.3318,0.3846
112.9840,0.3846
113.6362,0.3846
114.2884,0.3846
114.9406,0.3846
115.5928,0.3846
116.2450,0.3846
116.8972,0.3846
117.5494,0.3846
118.2015,0.3846
118.8537,0.3846
119.5059,0.3846
120.1581,0.3846
120.8103,0.3846
121.4625,0.3846
122.1147,0.3846
122.7669,0.3846
123.4191,0.3846
124.0713,0.3846
124.7234,0.3846
125.3756,0.3846
126.0278,0.3846
126.6800,0.3846
127.3322,0.3846
127.9844,0.3846
128.6366,0.3846
129.2888,0.3846
129.9410,0.3846
130.5932,0.3846
131.2453,0.3846
131.8975,0.3846
132.5497,0.3846
133.2019,0.3846
133.8541,0.3846
134.5063,0.3846
135.1585,0.3462
135.8107,0.3462
136.4629,0.3462
137.1151,0.3077
137.7672,0.3077
138.4194,0.3077
139.0716,0.3077
139.7238,0.2692
140.3760,0.2692
141.0282,0.2692
141.6804,0.2308
142.3326,0.2308
142.9848,0.2308
143.6370,0.2308
144.2891,0.2308
144.9413,0.2308
145.5935,0.2308
146.2457,0.2308
146.8979,0.2308
147.5501,0.2308
148.2023,0.2308
148.8545,0.2308
149.5067,0.2308
150.1589,0.2308
150.8110,0.2308
151.4632,0.2308
152.1154,0.1923
152.7676,0.1923
153.4198,0.1923
154.0720,0.1923
154.7242,0.1538
155.3764,0.1538
156.0286,0.1538
156.6808,0.1538
157.3329,0.1538
157.9851,0.1154
158.6373,0.1154
159.2895,0.1154
159.9417,0.1154
160.5939,0.1154
161.2461,0.1154
161.8983,0.1154
162.5505,0.1154
163.2027,0.1154
163.8548,0.1154
164.5070,0.1154
165.1592,0.1154
165.8114,0.1154
166.4636,0.1154
167.1158,0.1154
167.7680,0.1154
168.4202,0.1154
169.0724,0.1154
169.7246,0.1154
170.3767,0.1154
171.0289,0.1154
171.6811,0.1154
172.3333,0.1154
172.9855,0.1154
173.6377,0.1154
174.2899,0.1154
174.9421,0.1154
175.5943,0.1154
176.2465,0.1154
176.8987,0.1154
177.5508,0.1154
178.2030,0.1154
178.8552,0.1154
179.5074,0.1154
180.1596,0.1154
180.8118,0.1154
181.4640,0.1154
182.1162,0.1154
182.7684,0.1154
183.4206,0.1154
184.0727,0.1154
184.7249,0.1154
185.3771,0.1154
186.0293,0.1154
186.6815,0.1154
187.3337,0.1154
187.9859,0.1154
188.6381,0.0769
189.2903,0.0769
189.9425,0.0769
190.5946,0.0769
191.2468,0.0769
191.8990,0.0385
192.5512,0.0385
193.2034,0.0385
193.8556,0.0385
194.5078,0.0385
195.1600,0.0000
